City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
163,Raudeberg,NO,61.9875,5.1352,50.67,45,62,9.24,broken clouds
164,Asau,RO,46.4333,26.4,49.28,75,71,4.5,broken clouds
165,Koungou,YT,-12.7336,45.2042,76.71,83,0,4.61,clear sky
166,Ancud,CL,-41.8697,-73.8203,52.23,71,19,7.67,few clouds
167,Cuaspud,CO,0.8628,-77.7263,53.44,82,100,6.91,overcast clouds
168,Mount Gambier,AU,-37.8333,140.7667,38.55,88,84,6.24,broken clouds
169,Srednekolymsk,RU,67.45,153.6833,30.09,87,86,3.13,overcast clouds
170,Salalah,OM,17.0151,54.0924,79.02,84,71,4.54,broken clouds
171,Kinlochleven,GB,56.7115,-4.9661,49.48,78,61,3.09,broken clouds
172,Poum,NC,-20.2333,164.0167,74.84,80,0,7.72,clear sky
173,Muzhi,RU,65.3667,64.6667,31.78,96,95,6.4,overcast clouds
174,Mattru,SL,7.6244,-11.8332,74.1,97,100,6.13,moderate rain
175,Yellowknife,CA,62.456,-114.3525,41.56,60,75,15.01,broken clouds
176,Floro,NO,61.5996,5.0328,53.24,76,51,16.11,broken clouds
177,Nome,US,64.5011,-165.4064,42.87,87,100,4.61,light rain
178,Jining,CN,35.405,116.5814,55.13,61,62,6.78,broken clouds
179,Eyl,SO,7.9803,49.8164,77.68,78,77,17.81,broken clouds
180,Provideniya,RU,64.3833,-173.3,36.23,74,99,6.67,overcast clouds
181,Sao Filipe,CV,14.8961,-24.4956,79.93,78,11,10.02,few clouds
182,Conde,BR,-7.2597,-34.9075,85.46,58,40,10.36,scattered clouds
183,Port Elizabeth,ZA,-33.918,25.5701,65.32,95,0,2.3,clear sky
184,Gamba,GA,-2.65,10.0,75.85,85,82,8.21,broken clouds
185,Vila Do Maio,CV,15.1333,-23.2167,79.59,81,9,15.01,clear sky
186,Richards Bay,ZA,-28.783,32.0377,73.22,76,0,15.61,clear sky
187,Huarmey,PE,-10.0681,-78.1522,68.5,68,72,13.04,broken clouds
188,Srandakan,ID,-7.9386,110.2506,76.96,88,100,7.0,overcast clouds
189,Saint Anthony,US,45.0205,-93.218,69.49,73,40,5.75,scattered clouds
190,Andenes,NO,69.3143,16.1194,48.92,93,75,3.44,broken clouds
191,Helong,CN,42.5397,128.9972,43.92,77,3,5.91,clear sky
192,Lavrentiya,RU,65.5833,-171.0,36.66,73,100,11.65,overcast clouds
193,Atar,MR,20.5169,-13.0499,96.12,33,100,11.39,overcast clouds
194,San Cristobal,VE,7.7669,-72.225,82.58,46,87,8.68,overcast clouds
195,Talnakh,RU,69.4865,88.3972,29.21,88,77,3.22,broken clouds
196,Hami,CN,42.8,93.45,70.79,13,0,5.21,clear sky
197,Storslett,NO,69.7678,21.0247,48.2,100,75,0.0,broken clouds
198,Anadyr,RU,64.75,177.4833,32.5,93,40,8.95,light snow
199,Honiara,SB,-9.4333,159.95,77.4,88,20,3.38,few clouds
200,Tual,ID,-5.6667,132.75,81.64,73,82,13.2,broken clouds
201,Butaritari,KI,3.0707,172.7902,81.52,75,59,11.52,broken clouds
202,Champerico,GT,14.3,-91.9167,88.34,77,72,6.26,broken clouds
203,Neyshabur,IR,36.2133,58.7958,75.27,15,0,1.99,clear sky
204,Yavas,RU,54.4159,42.8491,52.29,83,85,11.77,overcast clouds
205,Katsuura,JP,35.1333,140.3,71.31,92,100,22.62,overcast clouds
206,Kyshtovka,RU,56.555,76.6271,46.49,73,96,11.01,overcast clouds
207,Tyshkivka,UA,48.4967,30.9423,51.85,60,69,9.71,broken clouds
208,Ekhabi,RU,53.5102,142.9671,50.09,97,100,18.5,moderate rain
