City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Leningradskiy,RU,2022-09-20 17:44:00,69.3833,178.4167,29.61,86,8,11.14
182,Port Hardy,CA,2022-09-20 17:41:20,50.6996,-127.4199,53.78,82,20,3.44
183,Trincomalee,LK,2022-09-20 17:45:00,8.5711,81.2335,80.87,74,45,13.13
184,Esperance,AU,2022-09-20 17:45:00,-33.8667,121.9,56.25,77,41,13.09
185,Lloydminster,CA,2022-09-20 17:41:20,53.2835,-110.0016,50.22,66,75,21.85
186,Bom Jesus,BR,2022-09-20 17:45:01,-9.0744,-44.3586,98.35,23,39,8.97
187,Pagudpud,PH,2022-09-20 17:45:01,18.5616,120.7868,77.5,84,100,4.94
188,Norman Wells,CA,2022-09-20 17:45:01,65.282,-126.8329,44.64,70,75,6.91
189,Bowen,AU,2022-09-20 17:45:02,-20.0167,148.2333,75.34,74,90,12.44
190,Ostrovnoy,RU,2022-09-20 17:45:02,68.0531,39.5131,45.59,94,100,23.55
191,Lasa,IT,2022-09-20 17:45:02,46.6166,10.7002,59.88,69,2,5.88
192,Yopal,CO,2022-09-20 17:45:03,5.3378,-72.3959,89.08,52,52,3.56
193,Tucupita,VE,2022-09-20 17:45:03,9.0622,-62.051,93.7,45,58,3.96
194,Torit,SS,2022-09-20 17:45:04,4.4133,32.5678,77.43,64,55,1.16
195,Dikson,RU,2022-09-20 17:45:04,73.5069,80.5464,30.31,75,100,16.98
196,Kavaratti,IN,2022-09-20 17:45:05,10.5669,72.642,81.16,77,82,13.98
197,Tuatapere,NZ,2022-09-20 17:45:06,-46.1333,167.6833,47.97,93,100,1.63
198,Santiago,CL,2022-09-20 17:44:06,-33.4569,-70.6483,58.28,60,100,9.22
199,Boende,CD,2022-09-20 17:45:06,-0.2167,20.8667,76.75,80,96,0.85
200,Urucara,BR,2022-09-20 17:45:06,-2.5364,-57.76,105.48,19,40,4.54
201,Ketchikan,US,2022-09-20 17:45:07,55.3422,-131.6461,55.87,82,0,11.5
202,Bodh Gaya,IN,2022-09-20 17:45:07,24.7,84.9833,80.49,100,75,0.0
203,Havoysund,NO,2022-09-20 17:45:08,70.9963,24.6622,43.03,67,100,16.73
204,Odessa,UA,2022-09-20 17:41:57,46.4775,30.7326,57.87,48,42,9.98
205,Padang,ID,2022-09-20 17:45:08,-0.9492,100.3543,77.22,87,93,3.29
206,Lolodorf,CM,2022-09-20 17:45:08,3.2333,10.7333,70.14,99,95,2.17
207,Souillac,MU,2022-09-20 17:45:09,-20.5167,57.5167,71.98,83,75,12.66
208,Miraflores,MX,2022-09-20 17:45:09,19.2167,-98.8083,68.76,60,99,2.84
209,Saint-Philippe,RE,2022-09-20 17:45:10,-21.3585,55.7679,71.19,86,42,14.7
210,Kastamonu,TR,2022-09-20 17:45:10,41.5,33.6667,55.38,84,96,5.06
211,Steinbach,DE,2022-09-20 17:45:10,50.1667,8.5667,56.88,71,0,6.91
212,Amuntai,ID,2022-09-20 17:45:11,-2.4177,115.2494,71.96,99,96,2.17
213,Ha Giang,VN,2022-09-20 17:45:11,22.8333,104.9833,74.64,97,71,1.92
214,Ampanihy,MG,2022-09-20 17:45:11,-24.7,44.75,74.62,49,0,8.37
215,Husavik,IS,2022-09-20 17:45:12,66.0449,-17.3389,52.74,87,61,5.7
216,Victor Harbor,AU,2022-09-20 17:45:12,-35.5667,138.6167,53.67,97,100,5.82
217,Hays,US,2022-09-20 17:45:12,30.0502,-98.0336,92.53,57,0,5.01
218,Katsuura,JP,2022-09-20 17:45:13,35.1333,140.3,66.99,88,100,22.3
219,Nuuk,GL,2022-09-20 17:40:47,64.1835,-51.7216,39.81,100,100,16.11
220,Baherden,TM,2022-09-20 17:45:14,38.4362,57.4316,79.84,21,0,5.39
221,Rensvik,NO,2022-09-20 17:45:14,63.1,7.8167,48.47,71,0,0.0
222,Yanai,JP,2022-09-20 17:45:14,33.9667,132.1167,66.2,73,43,11.59
223,Katherine,AU,2022-09-20 17:45:05,-14.4667,132.2667,84.52,58,57,3.44
224,Kutum,SD,2022-09-20 17:45:15,14.2,24.6667,79.34,46,96,7.99
225,San Cristobal,VE,2022-09-20 17:45:15,7.7669,-72.225,80.78,39,16,3.47
226,Ashti,IN,2022-09-20 17:45:16,19.3833,76.2333,75.29,82,100,10.67
227,Mount Isa,AU,2022-09-20 17:45:16,-20.7333,139.5,71.37,100,100,9.22
228,Hereford,GB,2022-09-20 17:45:16,52.0568,-2.7148,65.05,66,96,4.41
229,Karratha,AU,2022-09-20 17:45:17,-20.7377,116.8463,68.85,40,0,6.73
230,Ostersund,SE,2022-09-20 17:46:17,63.1792,14.6357,45.05,76,75,9.22
231,Mariakani,KE,2022-09-20 17:46:17,-3.8633,39.4736,75.29,89,39,6.96
232,Nieuw Amsterdam,SR,2022-09-20 17:45:47,5.8833,-55.0833,87.96,66,40,11.5
233,Pierre,US,2022-09-20 17:42:00,44.3683,-100.351,88.05,43,0,21.85
234,Khatanga,RU,2022-09-20 17:46:18,71.9667,102.5,22.44,90,98,7.18
235,Topeka,US,2022-09-20 17:46:18,39.0483,-95.678,96.58,42,0,16.11
236,Itarema,BR,2022-09-20 17:45:20,-2.9248,-39.9167,84.83,60,86,20.69
237,Zaraza,VE,2022-09-20 17:46:19,9.3503,-65.3245,91.78,50,58,2.68
238,Altamira,BR,2022-09-20 17:46:19,-3.2033,-52.2064,95.09,46,40,9.22
239,Vestmannaeyjar,IS,2022-09-20 17:46:19,63.4427,-20.2734,54.59,94,100,18.41
240,Torbay,CA,2022-09-20 17:46:20,47.6666,-52.7314,58.75,70,75,5.99
241,Comodoro Rivadavia,AR,2022-09-20 17:44:51,-45.8667,-67.5,44.46,100,100,13.8
242,Kavieng,PG,2022-09-20 17:46:21,-2.5744,150.7967,80.82,80,99,9.62
243,Vavoua,CI,2022-09-20 17:46:21,7.3819,-6.4778,73.31,96,95,4.09
244,Awjilah,LY,2022-09-20 17:46:21,29.1081,21.2869,91.27,20,0,6.46
245,Phan Thiet,VN,2022-09-20 17:42:55,10.9333,108.1,76.48,90,100,9.13
246,Tasiilaq,GL,2022-09-20 17:46:21,65.6145,-37.6368,39.36,97,100,9.66
247,Cap Malheureux,MU,2022-09-20 17:46:22,-19.9842,57.6142,71.47,75,6,8.01
248,Yar-Sale,RU,2022-09-20 17:46:22,66.8333,70.8333,45.77,98,100,17.38
249,Damietta,EG,2022-09-20 17:46:23,31.4165,31.8133,80.49,58,0,12.8
250,Komatipoort,ZA,2022-09-20 17:46:23,-25.4332,31.9548,65.05,74,100,11.86
