City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
129,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
130,Soyo,AO,74.19,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
131,Isla Vista,US,88.3,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
132,Tura,IN,73.36,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
134,Atuona,PF,76.6,scattered clouds,-9.8,-139.0333,Villa Enata
136,Lae,PG,73.96,broken clouds,-6.7221,146.9847,Phils Hotel
140,Varkkallai,IN,82.18,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
146,Gazli,UZ,80.04,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
147,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
148,North Vernon,US,73.71,broken clouds,39.0062,-85.6236,Quality Inn North Vernon near Hwy 50
149,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
154,Tema,GH,79.36,overcast clouds,5.667,-0.0166,Beulah Royale Hotel Tema
157,Samarai,PG,80.06,overcast clouds,-10.6167,150.6667,Nuli Sapi
160,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
162,Namatanai,PG,79.29,light rain,-3.6667,152.4333,Seagulls Inn Namatani
165,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
170,Salalah,OM,79.02,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
172,Poum,NC,74.84,clear sky,-20.2333,164.0167,
174,Mattru,SL,74.1,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
179,Eyl,SO,77.68,broken clouds,7.9803,49.8164,Amiin Hotel
181,Sao Filipe,CV,79.93,few clouds,14.8961,-24.4956,Hotel Xaguate
182,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
184,Gamba,GA,75.85,broken clouds,-2.65,10.0,
185,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
186,Richards Bay,ZA,73.22,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
188,Srandakan,ID,76.96,overcast clouds,-7.9386,110.2506,Puri Brata
194,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
